code,name,prefix
ACCT 3101,Professional Program in Accounting Lyceum,ACCT
ACCT 3100,Professional Development,ACCT
ACCT 4395,Capstone Senior Project - Accounting,ACCT
ACCT 3350,Fundamentals of Taxation,ACCT
ACCT 4V00,Special Topics,ACCT
ACCT 2301,Introductory Financial Accounting,ACCT
ACCT 4V80,Professional Internship in Accounting,ACCT
PSY 3360,Historical Perspectives on Psychology: Mind and Machines since 1600,PSY
PSY 4V98,Directed Research,PSY
PSY 4V96,Teaching Internship,PSY
PSY 4V91,Green Fellowship Directed Research,PSY
PSY 4V90,Special Topics in Psychology,PSY
PSY 4V75,Honors Seminar,PSY
PSY 4397,Thesis Research,PSY
PSY 4395,Co-op Fieldwork,PSY
PSY 4394,Internship in Psychology,PSY
PSY 4393,Language in Culture and Society,PSY
PSY 4391,Individual Study and Writing,PSY
PSY 4390,Directed Research and Writing,PSY
PSY 4389,Developmental Cognitive Neuroscience,PSY
PSY 4386,Adult Development and Aging,PSY
PSY 4V99,Individual Study,PSY
PSY 3355,Psychology of Creativity,PSY
PSY 3351,Mass Communication and Behavior,PSY
PSY 3350,Psychology of Communication,PSY
PSY 2301,Introduction to Psychology,PSY
PSY 2314,Lifespan Development,PSY
PSY 2317,Statistics for Psychology,PSY
PSY 2364,Animal Communication,PSY
PSY 3100,Careers in Psychology,PSY
PSY 3310,Child Development,PSY
PSY 4385,Neuropsychology,PSY
PSY 3322,Psychology of Adjustment,PSY
PSY 3331,Social Psychology,PSY
PSY 3332,Social and Personality Development,PSY
PSY 3336,Infancy,PSY
PSY 3338,Adolescence,PSY
PSY 3339,Educational Psychology,PSY
PSY 3342,Exceptional Children,PSY
PSY 3324,Psychology of Gender,PSY
PSY 4378,Advanced Conflict Resolution: Family Mediation,PSY
PSY 4377,Conflict Resolution,PSY
PSY 4374,Judgment and Decision Making,PSY
PSY 4324,The Psychology of Prejudice,PSY
PSY 4323,Cultural Diversity and Psychology,PSY
PSY 4320,Psychology of Reasoning,PSY
PSY 4193,Internship Preparation,PSY
PSY 4099,Individual Study,PSY
PSY 4098,Directed Research,PSY
PSY 4325,Death and Dying,PSY
PSY 3490,Accelerated Quantitative Methods,PSY
PSY 3392,Research Design and Analysis,PSY
PSY 3370,Positive Psychology,PSY
PSY 3366,Motivation and Achievement,PSY
PSY 3363,Evolution of Behavior,PSY
PSY 3362,Cognitive Development,PSY
PSY 3361,Cognitive Psychology,PSY
PSY 3393,Experimental Projects in Psychology,PSY
PSY 4327,Stress Management,PSY
PSY 4328,Health Psychology,PSY
PSY 4331,Personality,PSY
PSY 4373,Psychological Assessment,PSY
PSY 4372,Forensic Psychology,PSY
PSY 4370,Industrial and Organizational Psychology,PSY
